country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Japan,46.7,47.9,48.8,49.1,49.9,51.3,51.8,52.6,53.1,53.7,54,54.5,55.2,55.7,55.9,56,56.7,57.5,57.5,57.7,58.2,58.4,58.5,59.3,59.7,60.4,60.8,61.1,62.1,62.5,63.1,63.9,64.8,65.1,66,66.8,,66.7,67.7,68.8,69.5,27.9,69.2,69,70,69.3,69.8,69.8
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,69.7,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,48.2,47.8,49.1,49.6,50,49.9,50.9,52.3,53,54.6,55.1,56,58.2,61.4,62.8,64.5
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,32.2,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8,,,,,81.1,,,,,61.8,,,,,,,
Kuwait,,,,,,,,,,,,,,72.3,,,,,73.2,,,,,,,74,,,,,,,,81.7,,76.1,,,72.3,,,,,,,,74.9,74.5
Kyrgyz Republic,,,,,,,,,,,,,,,,,36.2,35.5,35.7,35.2,39.4,38,39.3,39.7,38.7,36.1,38.3,38.2,38,36.1,36.5,36.7,38.9,41.7,43.5,43.9,44.3,45.3,45.3,,,,48.2,48.1,48,49.8,51.1,53.8
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,20.2,,,,,,,42.2
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,52.4,53.9,56.8,58.3,58.2,58.2,58.7,59.8,61.5,61.1,61.1,62.6,66.9,68.3,68.2,68.1,68,68.6,68.4,68.2,69.8
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,28.3,,18.3,,,,,,,,,45.5,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,,,,,
Libya,,42.5,42.6,42.2,41.1,40.4,40.1,40.5,40.8,,47.4,,,44.3,,43.8,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,65,65.7,66.5,67,66.8,68.1,68.4,68.6,69.2,69.6,70.4,
