country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,,,,,,,,,,,,,,,,,,,,1.25,,1.71,2.13,2.8,,1.41,1.51,1.54,0.89,0.78,0.43,0.52,0.37,0.2,0.45,0.22,0.17,0.22,0.14,0.18,0.18,0.26,0.3,0.26,0.21,0.13,0.1,0.21
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,42.6,,,,,,,,39.9,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,22.2,,,0.29,,0.88,
Finland,,,,,,,,,,,,,,,,,,,,1.46,1.4,1.31,1.28,1.31,1.27,1.51,1.51,1.02,0.57,0.81,0.67,0.64,0.52,0.41,0.42,0.53,0.55,0.56,0.51,0.54,0.56,0.47,0.5,0.46,0.49,0.47,0.53,0.42
France,,,,,,,,,,,,,,4.28,4.39,4.19,3.93,3.65,3.34,2.99,2.84,2.66,2.52,2.35,2.29,2.05,1.88,1.75,1.55,1.51,1.27,1.11,1.12,1.22,1.14,0.97,0.93,0.67,0.61,0.62,0.55,0.52,0.47,0.44,0.43,0.38,0.4,0.34
Gabon,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,1.23,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.6,29.5,31.4,28.3,28.8,27.9,28.5,28.7,28.4,25.7,24.1,22.6,23.4,22.8,21.8,21.4,20.5,20.8,20
Germany,,,,,,,,,,,,,,3.66,3.43,2.81,2.79,2.54,2.44,2.07,2.05,1.45,1.44,1.39,1.36,1.36,1.01,0.97,1.01,0.84,0.8,1.19,1.1,0.99,1.13,1.15,1.03,1.04,0.91,0.63,0.57,0.59,0.54,0.48,0.44,0.4,0.38,0.36
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,22.3,,9.65,,
Greece,,,,,,,,,,,,,,14.9,15,14.6,15.3,14.6,14.3,14.2,12.8,11.6,12,12.1,12.3,12.3,12,11.9,11.3,10,9.62,8.33,7.82,7.86,6.28,6.32,6.54,6.36,5.88,5.84,5.67,5.47,5.02,4.89,4.7,4.37,3.91,3.93
Grenada,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,0.88,,1.12,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,15.1,,22.4,14.7,12.4,,,,,,12.6,11.7,13.7,9.84,10.1,9.7,8.41,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,9.83,9.88,8.82,,8.57,9.05,12.8,11.9,11.4,13,,12.3,12.3,11.7,12.2,9.27,8.82,7.9,7.99,8.54,10.1,10.9,10.4,9.26,8.29,9.63,8.61,8.9
Hungary,,,,,,,,,,,,,,,,,,,,,,,1.24,1.14,1.1,1.12,1.08,1.19,0.79,0.77,0.69,0.68,0.63,0.51,0.4,0.44,0.5,0.45,0.34,0.41,0.33,0.42,0.39,0.34,0.32,0.27,0.3,0.28
Iceland,,,,,,,,,,,,,,,,,,,,,,2.56,2.56,2.78,1.74,0.98,0.54,0.39,0.29,0.2,0.39,0.23,0.31,,,,0.07,0.04,,,,,0.05,,,,,0.17
India,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,18,,,,,20,,,,,15.8,,15,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,19.5,18.3,20.1,19.4,17.6,20.3,18.4,18,16.9,17.3,17.3,17.6,17.8,17,16.6,16.1,15.4,14.3,13.8,13.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,,,,,,,,,,10.4,8.91,9.13,7.88,,,,4.95,5.13,5.31,5.38
Ireland,,,,,,,,,,,,,,4.02,3.53,3.43,2.18,2.9,2.72,2.63,2.5,1.94,1.57,1.67,1.53,1.34,1.08,1.27,1.33,1.28,1.29,1.05,0.9,0.99,0.74,0.72,0.58,0.76,0.77,0.91,0.88,0.7,0.88,0.86,0.76,0.79,0.81,0.63
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.57,0.52,0.5,0.47,0.45,0.47,0.4,0.44,0.36,0.35,0.28,0.21,0.21,0.2,0.2,0.16,0.14,0.13,0.1,0.1,0.09,0.08
Italy,,,,,,,,,,,,,,5.03,5.4,5.18,5.14,5.05,4.87,4.41,3.96,4.06,5.12,4.78,4.61,4.53,4.32,4.26,4.3,3.86,3.93,4.22,4.07,4.06,2.48,1.85,1.84,1.83,1.71,1.57,1.62,1.58,1.45,1.42,1.39,1.37,1.36,1.28
Jamaica,,,,,,,,,,,,,,,,,,,,,,3.13,3.01,2.22,2.4,2.82,2.45,2.09,2.19,2.17,2.01,2.09,1.43,1.33,1.29,1.27,1.2,1.22,1.16,,,0.99,1,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,8.27,7.68,7.09,6.48,6.31,6.15,5.89,5.73,5.63,5.51,5.27,5.07,4.82,4.69,4.58,4.44,3.87,3.68,3.51,3.22,3.02,2.91,2.87,2.76,2.65,2.54,2.38,2.31
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,
